Line Number,Word Order,Word
1,1,1
1,2,Μῆνιν
1,3,ἄειδε
1,4,θεά
1,5,Πηληϊάδεω
1,6,Ἀχιλῆος
2,7,2
2,8,οὐλομένην
2,9,ἣ
2,10,μυρίʼ
2,11,Ἀχαιοῖς
2,12,ἄλγεʼ
2,13,ἔθηκε
3,14,3
3,15,πολλὰς
3,16,δʼ
3,17,ἰφθίμους
3,18,ψυχὰς
3,19,Ἄϊδι
3,20,προΐαψεν
4,21,4
4,22,ἡρώων
4,23,αὐτοὺς
4,24,δὲ
4,25,ἑλώρια
4,26,τεῦχε
4,27,κύνεσσιν
5,28,5
5,29,οἰωνοῖσί
5,30,τε
5,31,πᾶσι
5,32,Διὸς
5,33,δʼ
5,34,ἐτελείετο
5,35,βουλή
6,36,6
6,37,ἐξ
6,38,οὗ
6,39,δὴ
6,40,τὰ
6,41,πρῶτα
6,42,διαστήτην
6,43,ἐρίσαντε
7,44,7
7,45,Ἀτρεΐδης
7,46,τε
7,47,ἄναξ
7,48,ἀνδρῶν
7,49,καὶ
7,50,δῖος
7,51,Ἀχιλλεύς
8,52,8
8,53,Τίς
8,54,τʼ
8,55,ἄρ
8,56,σφωε
8,57,θεῶν
8,58,ἔριδι
8,59,ξυνέηκε
8,60,μάχεσθαι
8,61,;
9,62,9
9,63,Λητοῦς
9,64,καὶ
9,65,Διὸς
9,66,υἱός
9,67,ὃ
9,68,γὰρ
9,69,βασιλῆϊ
9,70,χολωθεὶς
10,71,10
10,72,νοῦσον
10,73,ἀνὰ
10,74,στρατὸν
10,75,ὦρσε
10,76,κακήν
10,77,ὀλέκοντο
10,78,δὲ
10,79,λαοί
11,80,11
11,81,οὕνεκα
11,82,τὸν
11,83,Χρύσην
11,84,ἠτίμασεν
11,85,ἀρητῆρα
12,86,12
12,87,Ἀτρεΐδης
12,88,ὃ
12,89,γὰρ
12,90,ἦλθε
12,91,θοὰς
12,92,ἐπὶ
12,93,νῆας
12,94,Ἀχαιῶν
13,95,13
13,96,λυσόμενός
13,97,τε
13,98,θύγατρα
13,99,φέρων
13,100,τʼ
13,101,ἀπερείσιʼ
13,102,ἄποινα
14,103,14
14,104,στέμματʼ
14,105,ἔχων
14,106,ἐν
14,107,χερσὶν
14,108,ἑκηβόλου
14,109,Ἀπόλλωνος
15,110,15
15,111,χρυσέῳ
15,112,ἀνὰ
15,113,σκήπτρῳ
15,114,καὶ
15,115,λίσσετο
15,116,πάντας
15,117,Ἀχαιούς
16,118,16
