Word,Count,Part of Speech,Lemma,Translation
τ,3,Unknown,τ,unknown
ἐς,3,Unknown,ἐς,unknown
δὲ,3,Unknown,δὲ,unknown
ἵπποι,2,Adjective,ἵπποι,unknown
ταὶ,2,Unknown,ταὶ,unknown
με,2,Unknown,με,unknown
ἐπὶ,2,Unknown,ἐπὶ,unknown
ὁδὸν,2,Unknown,ὁδὸν,unknown
κόραι,2,Adjective,κόραι,unknown
δ,2,Unknown,δ,unknown
χερσὶν,2,Unknown,χερσὶν,unknown
ἐν,2,Unknown,ἐν,unknown
φέρουσιν,1,Unknown,φέρουσιν,unknown
ὅσον,1,Adjective,ὅσον,unknown
θυμὸς,1,Unknown,θυμὸς,unknown
ἱκάνοι,1,Adjective,ἱκάνοι,unknown
πέμπον,1,Adjective,πέμπον,unknown
ἐπεί,1,Unknown,ἐπεί,unknown
μ,1,Unknown,μ,unknown
βῆσαν,1,Unknown,βῆσαν,unknown
πολύφημον,1,Adjective,πολύφημον,unknown
ἄγουσαι,1,Adjective,ἄγουσαι,unknown
δαίμονός,1,Unknown,δαίμονός,unknown
φωτῶν,1,Unknown,φωτῶν,unknown
ταύτῃ,1,Noun,ταύτῃ,unknown
γὰρ,1,Unknown,γὰρ,unknown
φέρεται,1,Verb,φέρεται,unknown
ἄνδρη,1,Adjective,ἄνδρη,unknown
σοφίης,1,Adjective,σοφίης,unknown
παντοίης,1,Adjective,παντοίης,unknown
φέρεν,1,Unknown,φέρεν,unknown
δέ,1,Particle,δέ,but
ταχῖαι,1,Adjective,ταχῖαι,unknown
ἅρμα,1,Adjective,ἅρμα,unknown
τιταίνουσαι,1,Adjective,τιταίνουσαι,unknown
ἡγεμόνευον,1,Adjective,ἡγεμόνευον,unknown
ἄξιον,1,Adjective,ἄξιον,unknown
φάος,1,Adjective,φάος,unknown
ἦλθον,1,Adjective,ἦλθον,unknown
ἀφ,1,Unknown,ἀφ,unknown
ἡλίου,1,Adjective,ἡλίου,unknown
ἀπέτηκτο,1,Unknown,ἀπέτηκτο,unknown
κράντο,1,Unknown,κράντο,unknown
μέγ,1,Unknown,μέγ,unknown
ἀμφὶ,1,Unknown,ἀμφὶ,unknown
ποτὶ,1,Unknown,ποτὶ,unknown
κῶας,1,Noun,κῶας,unknown
ἔχουσαι,1,Adjective,ἔχουσαι,unknown
ἕλκον,1,Adjective,ἕλκον,unknown
ἀπὸ,1,Unknown,ἀπὸ,unknown
κεφαλᾶς,1,Unknown,κεφαλᾶς,unknown
καλύμματα,1,Adjective,καλύμματα,unknown
ἔτ,1,Unknown,ἔτ,unknown
ἔαχον,1,Adjective,ἔαχον,unknown
οὕτω,1,Verb,οὕτω,unknown
νιν,1,Unknown,νιν,unknown
πεῖσαν,1,Unknown,πεῖσαν,unknown
κούραι,1,Adjective,κούραι,unknown
μαλακοῖς,1,Unknown,μαλακοῖς,unknown
ἐπέεσσι,1,Unknown,ἐπέεσσι,unknown
σοὶ,1,Unknown,σοὶ,unknown
φράζειν,1,Verb,φράζειν,unknown
ὡς,1,Unknown,ὡς,unknown
τὰ,1,Unknown,τὰ,unknown
φαεσφόρα,1,Adjective,φαεσφόρα,unknown
κάλυπτρα,1,Adjective,κάλυπτρα,unknown
διέδηξεν,1,Unknown,διέδηξεν,unknown
θύραι,1,Adjective,θύραι,unknown
ἐπέροντο,1,Unknown,ἐπέροντο,unknown
πύλαι,1,Adjective,πύλαι,unknown
ἀέθλοισιν,1,Unknown,ἀέθλοισιν,unknown
ἀχρεῖον,1,Adjective,ἀχρεῖον,unknown
ἀμφί,1,Unknown,ἀμφί,unknown
περώῳ,1,Noun,περώῳ,unknown
ἰσχῠρά,1,Unknown,ἰσχῠρά,unknown
τὰς,1,Unknown,τὰς,unknown
ἐπέμαξαν,1,Unknown,ἐπέμαξαν,unknown
ἄνωγεν,1,Unknown,ἄνωγεν,unknown
