Word,Frequency
de,29
en,14
y,12
el,11
la,11
que,10
los,8
del,6
una,5
se,5
a,5
mundo,5
vez,4
me,4
por,4
un,4
pero,4
al,3
libro,3
chatwin,3
luego,3
más,3
años,3
las,3
llamadme,2
ismael,2
veces,2
aeropuerto,2
hamburgo,2
cada,2
peso,2
acercaba,2
hora,2
salida,2
embarque,2
llevaba,2
patagonia,2
siempre,2
o,2
estaba,2
pensaba,2
hasta,2
chile,2
deseos,2
allá,2
repetida,2
creí,2
fin,2
como,2
1,1
repetí,1
varias,1
mientras,1
esperaba,1
sentía,1
fuerza,1
extraña,1
otorgaba,1
mayor,1
delgado,1
cuadernillo,1
pasaje,1
aumentaba,1
conforme,1
había,1
atravesado,1
primer,1
control,1
paseaba,1
sala,1
aferrado,1
bolso,1
mano,1
no,1
demasiadas,1
cosas,1
él,1
cámara,1
fotográfica,1
libreta,1
apuntes,1
bruce,1
he,1
aborrecido,1
hacen,1
rayas,1
anotaciones,1
libros,1
aquél,1
lleno,1
subrayados,1
signos,1
exclamación,1
fueron,1
aumento,1
tres,1
lecturas,1
leerlo,1
cuarta,1
durante,1
vuelo,1
santiago,1
quise,1
regresar,1
tuve,1
ganas,1
determinación,1
pesó,1
miedo,1
reencontrarme,1
con,1
mi,1
hermano,1
amigos,1
tengo,1
transformaron,1
promesa,1
tan,1
menos,1
demasiados,1
vagando,1
sin,1
rumbo,1
fijo,1
detenerme,1
aconsejaban,1
pequeño,1
pueblo,1
pescadores,1
creta,1
ierápetras,1
apacible,1
ciudad,1
asturiana,1
villa,1
viciosa,1
algún,1
día,1
cayo,1
mis,1
manos,1
para,1
devolverme,1
olvidado,1
esperando,1
leer,1
primera,1
entró,1
desesperación,1
volver,1
está,1
simples,1
intenciones,1
viajero,1
distancia,1
nos,1
muestra,1
su,1
real,1
envergadura,1
cuando,1
recuerdos,1
emergen,1
boyas,1
agitado,1
mar,1
intensos,1
demás,1
viajeros,1
entraban,1
salían,1
tienda,1
libre,1
impuestos,1
ocupaban,1
bar,1
algunos,1
mostraban,1
nerviosos,1
consultaban,1
sus,1
relojes,1
dudando,1
puntualidad,1
docenas,1
aparatos,1
electrónicos,1
momento,1
abrirían,1
puertas,1
tras,1
revisar,1
tarjetas,1
seríamos,1
conducidos,1
bus,1
avión,1
yo,1
regresaba,1
veinticuatro,1
ausencia,1
