Line Number,Word Order,Word
1,1,1
2,2,Llamadme
2,3,Ismael
2,4,llamadme
3,5,Ismael
3,6,repetí
3,7,varias
3,8,veces
3,9,mientras
4,10,esperaba
4,11,en
4,12,el
4,13,aeropuerto
4,14,de
4,15,Hamburgo
5,16,y
5,17,sentía
5,18,que
5,19,una
5,20,fuerza
5,21,extraña
5,22,otorgaba
6,23,cada
6,24,vez
6,25,mayor
6,26,peso
6,27,al
6,28,delgado
7,29,cuadernillo
7,30,del
7,31,pasaje
7,32,peso
7,33,que
8,34,aumentaba
8,35,conforme
8,36,se
8,37,acercaba
8,38,la
8,39,hora
9,40,de
9,41,salida
10,42,Había
10,43,atravesado
10,44,el
10,45,primer
10,46,control
10,47,y
11,48,me
11,49,paseaba
11,50,por
11,51,la
11,52,sala
11,53,de
11,54,embarque
12,55,aferrado
12,56,al
12,57,bolso
12,58,de
12,59,mano
12,60,No
12,61,llevaba
13,62,demasiadas
13,63,cosas
13,64,en
13,65,él
13,66,una
13,67,cámara
14,68,fotográfica
14,69,una
14,70,libreta
14,71,de
14,72,apuntes
14,73,y
14,74,un
15,75,libro
15,76,de
15,77,Bruce
15,78,Chatwin
15,79,En
15,80,La
16,81,Patagonia
16,82,Siempre
16,83,he
16,84,aborrecido
16,85,a
16,86,los
17,87,que
17,88,hacen
17,89,rayas
17,90,o
17,91,anotaciones
17,92,en
17,93,los
18,94,libros
18,95,pero
18,96,aquél
18,97,estaba
18,98,lleno
18,99,de
19,100,subrayados
19,101,y
19,102,signos
19,103,de
19,104,exclamación
19,105,que
20,106,fueron
20,107,en
20,108,aumento
20,109,luego
20,110,de
20,111,tres
20,112,lecturas
21,113,y
21,114,pensaba
21,115,leerlo
21,116,por
21,117,cuarta
21,118,vez
21,119,durante
22,120,el
22,121,vuelo
22,122,hasta
22,123,Santiago
22,124,de
22,125,Chile
23,126,Siempre
23,127,quise
23,128,regresar
23,129,a
23,130,Chile
24,131,Tuve
24,132,ganas
24,133,pero
24,134,a
24,135,la
24,136,hora
24,137,de
24,138,la
25,139,determinación
25,140,pesó
25,141,más
25,142,el
25,143,miedo
25,144,y
25,145,los
26,146,deseos
26,147,de
26,148,reencontrarme
26,149,con
26,150,mi
27,151,hermano
27,152,y
27,153,los
27,154,amigos
27,155,que
27,156,allá
27,157,tengo
27,158,se
28,159,transformaron
28,160,en
28,161,una
28,162,promesa
28,163,en
28,164,la
28,165,que
29,166,de
29,167,tan
29,168,repetida
29,169,creí
29,170,cada
29,171,vez
29,172,menos
30,173,Llevaba
30,174,demasiados
30,175,años
30,176,vagando
31,177,sin
31,178,rumbo
31,179,fijo
31,180,y
31,181,los
31,182,deseos
31,183,de
32,184,detenerme
32,185,a
32,186,veces
32,187,me
32,188,aconsejaban
32,189,un
33,190,pequeño
33,191,pueblo
33,192,de
33,193,pescadores
33,194,en
33,195,Creta
34,196,Ierápetras
34,197,o
34,198,una
34,199,apacible
34,200,ciudad
35,201,asturiana
35,202,Villa
35,203,Viciosa
35,204,Pero
35,205,algún
35,206,día
36,207,cayo
36,208,en
36,209,mis
36,210,manos
36,211,el
36,212,libro
36,213,de
36,214,Chatwin
37,215,para
37,216,devolverme
37,217,a
37,218,un
37,219,mundo
37,220,que
37,221,creí
38,222,olvidado
38,223,y
38,224,que
38,225,me
38,226,estaba
38,227,esperando
38,228,el
39,229,mundo
39,230,del
39,231,fin
39,232,del
39,233,mundo
40,234,Luego
40,235,de
40,236,leer
40,237,por
40,238,primera
40,239,vez
40,240,el
41,241,libro
41,242,de
41,243,Chatwin
41,244,me
41,245,entró
41,246,la
42,247,desesperación
42,248,por
42,249,volver
42,250,pero
42,251,La
43,252,Patagonia
43,253,está
43,254,más
43,255,allá
43,256,de
43,257,las
43,258,simples
44,259,intenciones
44,260,del
44,261,viajero
44,262,y
44,263,la
44,264,distancia
44,265,se
45,266,nos
45,267,muestra
45,268,en
45,269,su
45,270,real
45,271,envergadura
46,272,cuando
46,273,los
46,274,recuerdos
46,275,emergen
46,276,como
47,277,boyas
47,278,en
47,279,el
47,280,agitado
47,281,mar
47,282,de
47,283,los
47,284,años
47,285,más
48,286,intensos
49,287,Aeropuerto
49,288,de
49,289,Hamburgo
49,290,Los
50,291,demás
50,292,viajeros
50,293,entraban
50,294,y
50,295,salían
50,296,de
50,297,la
51,298,tienda
51,299,libre
51,300,de
51,301,impuestos
51,302,ocupaban
51,303,el
52,304,bar
52,305,algunos
52,306,se
52,307,mostraban
52,308,nerviosos
53,309,consultaban
53,310,sus
53,311,relojes
53,312,como
53,313,dudando
54,314,de
54,315,la
54,316,puntualidad
54,317,repetida
54,318,en
54,319,docenas
54,320,de
55,321,aparatos
55,322,electrónicos
55,323,Se
55,324,acercaba
55,325,el
56,326,momento
56,327,en
56,328,que
56,329,abrirían
56,330,las
56,331,puertas
56,332,de
57,333,salida
57,334,y
57,335,tras
57,336,revisar
57,337,las
57,338,tarjetas
57,339,de
58,340,embarque
58,341,seríamos
58,342,conducidos
58,343,en
58,344,un
59,345,bus
59,346,hasta
59,347,el
59,348,avión
59,349,Yo
59,350,pensaba
59,351,que
60,352,regresaba
60,353,al
60,354,mundo
60,355,del
60,356,fin
60,357,del
60,358,mundo
61,359,luego
61,360,de
61,361,veinticuatro
61,362,años
61,363,de
61,364,ausencia
