WordNumber,Word,Frequency
1,de,29
2,en,14
3,y,12
4,el,11
5,la,11
6,que,10
7,los,8
8,del,6
9,una,5
10,se,5
11,a,5
12,mundo,5
13,vez,4
14,me,4
15,por,4
16,un,4
17,pero,4
18,al,3
19,libro,3
20,chatwin,3
21,luego,3
22,más,3
23,años,3
24,las,3
25,llamadme,2
26,ismael,2
27,veces,2
28,aeropuerto,2
29,hamburgo,2
30,cada,2
31,peso,2
32,acercaba,2
33,hora,2
34,salida,2
35,embarque,2
36,llevaba,2
37,patagonia,2
38,siempre,2
39,o,2
40,estaba,2
41,pensaba,2
42,hasta,2
43,chile,2
44,deseos,2
45,allá,2
46,repetida,2
47,creí,2
48,fin,2
49,como,2
50,1,1
51,repetí,1
52,varias,1
53,mientras,1
54,esperaba,1
55,sentía,1
56,fuerza,1
57,extraña,1
58,otorgaba,1
59,mayor,1
60,delgado,1
61,cuadernillo,1
62,pasaje,1
63,aumentaba,1
64,conforme,1
65,había,1
66,atravesado,1
67,primer,1
68,control,1
69,paseaba,1
70,sala,1
71,aferrado,1
72,bolso,1
73,mano,1
74,no,1
75,demasiadas,1
76,cosas,1
77,él,1
78,cámara,1
79,fotográfica,1
80,libreta,1
81,apuntes,1
82,bruce,1
83,he,1
84,aborrecido,1
85,hacen,1
86,rayas,1
87,anotaciones,1
88,libros,1
89,aquél,1
90,lleno,1
91,subrayados,1
92,signos,1
93,exclamación,1
94,fueron,1
95,aumento,1
96,tres,1
97,lecturas,1
98,leerlo,1
99,cuarta,1
100,durante,1
101,vuelo,1
102,santiago,1
103,quise,1
104,regresar,1
105,tuve,1
106,ganas,1
107,determinación,1
108,pesó,1
109,miedo,1
110,reencontrarme,1
111,con,1
112,mi,1
113,hermano,1
114,amigos,1
115,tengo,1
116,transformaron,1
117,promesa,1
118,tan,1
119,menos,1
120,demasiados,1
121,vagando,1
122,sin,1
123,rumbo,1
124,fijo,1
125,detenerme,1
126,aconsejaban,1
127,pequeño,1
128,pueblo,1
129,pescadores,1
130,creta,1
131,ierápetras,1
132,apacible,1
133,ciudad,1
134,asturiana,1
135,villa,1
136,viciosa,1
137,algún,1
138,día,1
139,cayo,1
140,mis,1
141,manos,1
142,para,1
143,devolverme,1
144,olvidado,1
145,esperando,1
146,leer,1
147,primera,1
148,entró,1
149,desesperación,1
150,volver,1
151,está,1
152,simples,1
153,intenciones,1
154,viajero,1
155,distancia,1
156,nos,1
157,muestra,1
158,su,1
159,real,1
160,envergadura,1
161,cuando,1
162,recuerdos,1
163,emergen,1
164,boyas,1
165,agitado,1
166,mar,1
167,intensos,1
168,demás,1
169,viajeros,1
170,entraban,1
171,salían,1
172,tienda,1
173,libre,1
174,impuestos,1
175,ocupaban,1
176,bar,1
177,algunos,1
178,mostraban,1
179,nerviosos,1
180,consultaban,1
181,sus,1
182,relojes,1
183,dudando,1
184,puntualidad,1
185,docenas,1
186,aparatos,1
187,electrónicos,1
188,momento,1
189,abrirían,1
190,puertas,1
191,tras,1
192,revisar,1
193,tarjetas,1
194,seríamos,1
195,conducidos,1
196,bus,1
197,avión,1
198,yo,1
199,regresaba,1
200,veinticuatro,1
201,ausencia,1
