WordNumber,Word,Frequency
1,de,24
2,los,12
3,del,12
4,y,10
5,a,10
6,que,9
7,la,8
8,las,7
9,el,7
10,en,6
11,mi,6
12,tío,5
13,más,5
14,pepe,4
15,se,4
16,era,3
17,con,3
18,me,3
19,una,3
20,no,3
21,hasta,3
22,por,2
23,un,2
24,vida,2
25,mis,2
26,tenía,2
27,necesidad,2
28,él,2
29,recibí,2
30,primeros,2
31,cuando,2
32,sur,2
33,mediados,2
34,puerto,2
35,montt,2
36,mundo,2
37,mar,2
38,vías,2
39,muy,1
40,joven,1
41,entonces,1
42,casi,1
43,niño,1
44,soñaba,1
45,aventuras,1
46,entregarían,1
47,fundamentos,1
48,alejada,1
49,tedio,1
50,aburrimiento,1
51,estaba,1
52,solo,1
53,sueños,1
54,así,1
55,mayúsculas,1
56,heredero,1
57,carácter,1
58,indómito,1
59,abuela,1
60,vasca,1
61,pesimismo,1
62,abuelo,1
63,andaluz,1
64,voluntario,1
65,brigadas,1
66,internacionales,1
67,durante,1
68,guerra,1
69,civil,1
70,española,1
71,fotografía,1
72,junto,1
73,ernest,1
74,hemingway,1
75,único,1
76,patrimonio,1
77,sentía,1
78,orgulloso,1
79,cesaba,1
80,repetirme,1
81,descubrir,1
82,camino,1
83,echarse,1
84,andar,1
85,está,1
86,indicar,1
87,oveja,1
88,negrísima,1
89,familia,1
90,cuanto,1
91,crecía,1
92,yo,1
93,nuestros,1
94,encuentros,1
95,volvían,1
96,cada,1
97,vez,1
98,clandestinos,1
99,libros,1
100,acercaron,1
101,escritores,1
102,quienes,1
103,jamás,1
104,he,1
105,olvidar,1
106,julio,1
107,verne,1
108,emilio,1
109,salgari,1
110,jack,1
111,london,1
112,también,1
113,historia,1
114,marcó,1
115,moby,1
116,dick,1
117,herman,1
118,melville,1
119,catorce,1
120,años,1
121,leí,1
122,aquel,1
123,libro,1
124,dieciséis,1
125,pude,1
126,resistirme,1
127,llamada,1
128,chile,1
129,vacaciones,1
130,verano,1
131,duran,1
132,diciembre,1
133,marzo,1
134,otras,1
135,lecturas,1
136,supe,1
137,confines,1
138,continentales,1
139,preantárticos,1
140,fondeaban,1
141,varias,1
142,pequeñas,1
143,flotas,1
144,barcos,1
145,balleneros,1
146,ansiaba,1
147,conocer,1
148,aquellos,1
149,hombres,1
150,imaginaba,1
151,herederos,1
152,capitán,1
153,ahab,1
154,convencer,1
155,padres,1
156,ese,1
157,viaje,1
158,sólo,1
159,fue,1
160,posible,1
161,gracias,1
162,ayuda,1
163,quien,1
164,además,1
165,financió,1
166,pasaje,1
167,mil,1
168,tantos,1
169,kilómetros,1
170,encuentro,1
171,fin,1
172,hice,1
173,tren,1
174,allí,1
175,frente,1
176,al,1
177,terminan,1
178,bruscamente,1
179,ferrocarril,1
180,después,1
181,país,1
182,divide,1
183,miles,1
184,islas,1
185,islotes,1
186,canales,1
187,pasos,1
188,cercanías,1
189,polo,1
190,parte,1
191,continental,1
192,cordilleras,1
193,ventisqueros,1
194,bosques,1
195,impenetrables,1
196,hielos,1
197,eternos,1
198,lagunas,1
199,fiordos,1
200,ríos,1
201,caprichosos,1
202,impiden,1
203,trazo,1
204,caminos,1
205,o,1
206,ferroviarias,1
