WordNumber,Word,Frequency
1,de,24
2,a,17
3,el,13
4,que,13
5,la,12
6,un,10
7,en,10
8,y,9
9,me,7
10,una,6
11,con,4
12,las,4
13,al,3
14,del,3
15,se,3
16,evangelista,3
17,por,3
18,hombres,3
19,puerto,2
20,nuevo,2
21,unos,2
22,porvenir,2
23,carretera,2
24,parte,2
25,detuvo,2
26,lugar,2
27,casas,2
28,terminaba,2
29,barco,2
30,patrón,2
31,antonio,2
32,garaicochea,2
33,vasco,2
34,muelle,2
35,no,2
36,estaba,2
37,los,2
38,porque,2
39,frente,2
40,aroma,2
41,mesas,2
42,mañana,1
43,siguiente,1
44,crucé,1
45,estrecho,1
46,bordo,1
47,lanchón,1
48,atiborrado,1
49,bombonas,1
50,gas,1
51,está,1
52,cien,1
53,kilómetros,1
54,sureste,1
55,planté,1
56,esperar,1
57,vehículo,1
58,une,1
59,san,1
60,sebastián,1
61,poblado,1
62,fronterizo,1
63,argentina,1
64,tierra,1
65,fuego,1
66,tuve,1
67,suerte,1
68,pues,1
69,media,1
70,hora,1
71,jeep,1
72,ministerio,1
73,agricultura,1
74,él,1
75,viajaban,1
76,veterinarios,1
77,mostraron,1
78,encantados,1
79,conocer,1
80,chico,1
81,patiperreaba,1
82,tan,1
83,lejos,1
84,santiago,1
85,ripio,1
86,corría,1
87,paralela,1
88,costa,1
89,norte,1
90,bahía,1
91,inútil,1
92,eso,1
93,tres,1
94,tarde,1
95,dejaron,1
96,lo,1
97,formaban,1
98,unas,1
99,veinte,1
100,alineadas,1
101,calle,1
102,mar,1
103,tenía,1
104,buscar,1
105,su,1
106,más,1
107,conocido,1
108,como,1
109,atraque,1
110,encontré,1
111,varias,1
112,embarcaciones,1
113,calado,1
114,pequeño,1
115,pero,1
116,veía,1
117,ninguna,1
118,teniendo,1
119,hubiese,1
120,zarpado,1
121,acerqué,1
122,grupo,1
123,calafateaban,1
124,nave,1
125,quién,1
126,dice,1
127,busca,1
128,chiporrito,1
129,don,1
130,dijeron,1
131,reparaciones,1
132,ah,1
133,salieron,1
134,dar,1
135,vuelta,1
136,prueba,1
137,ya,1
138,estarán,1
139,vuelven,1
140,dijo,1
141,uno,1
142,todos,1
143,reanudaron,1
144,calafate,1
145,quise,1
146,permanecer,1
147,molestaban,1
148,miradas,1
149,divertidas,1
150,también,1
151,sentía,1
152,hambre,1
153,caminé,1
154,entre,1
155,doble,1
156,fila,1
157,madera,1
158,buscando,1
159,almacén,1
160,pronto,1
161,pasar,1
162,puerta,1
163,abierta,1
164,irresistible,1
165,cebollas,1
166,fritas,1
167,alcé,1
168,cabeza,1
169,vi,1
170,letrero,1
171,pintado,1
172,sobre,1
173,tabla,1
174,pensión,1
175,fueguina,1
176,terminó,1
177,empujarme,1
178,era,1
179,primera,1
180,vez,1
181,entraba,1
182,solo,1
183,restaurante,1
184,vacío,1
185,ningún,1
186,parroquiano,1
187,ocupaba,1
188,ordenadas,1
189,dos,1
190,filas,1
191,mesón,1
192,adornado,1
193,lámparas,1
194,aceite,1
195,flores,1
196,artificiales,1
197,tomé,1
198,asiento,1
199,esperé,1
200,atendieran,1
