Line Number,Word Order,Word
1,1,A
1,2,la
1,3,mañana
1,4,siguiente
1,5,crucé
1,6,el
1,7,estrecho
2,8,a
2,9,bordo
2,10,de
2,11,un
2,12,lanchón
2,13,atiborrado
2,14,de
3,15,bombonas
3,16,de
3,17,gas
3,18,Puerto
3,19,Nuevo
3,20,está
3,21,a
4,22,unos
4,23,cien
4,24,kilómetros
4,25,al
4,26,sureste
4,27,de
5,28,Porvenir
5,29,y
5,30,me
5,31,planté
5,32,a
5,33,esperar
5,34,un
6,35,vehículo
6,36,en
6,37,la
6,38,carretera
6,39,que
6,40,une
7,41,Porvenir
7,42,con
7,43,San
7,44,Sebastián
7,45,poblado
8,46,fronterizo
8,47,con
8,48,la
8,49,parte
8,50,argentina
8,51,de
8,52,la
9,53,Tierra
9,54,del
9,55,Fuego
10,56,Tuve
10,57,suerte
10,58,pues
10,59,a
10,60,la
10,61,media
10,62,hora
10,63,se
11,64,detuvo
11,65,un
11,66,jeep
11,67,del
11,68,Ministerio
11,69,de
12,70,Agricultura
12,71,En
12,72,él
12,73,viajaban
12,74,unos
13,75,veterinarios
13,76,que
13,77,se
13,78,mostraron
14,79,encantados
14,80,de
14,81,conocer
14,82,a
14,83,un
14,84,chico
14,85,que
15,86,patiperreaba
15,87,tan
15,88,lejos
15,89,de
15,90,Santiago
15,91,La
16,92,carretera
16,93,de
16,94,ripio
16,95,corría
16,96,paralela
16,97,a
16,98,la
17,99,costa
17,100,norte
17,101,de
17,102,Bahía
17,103,Inútil
17,104,y
17,105,a
17,106,eso
17,107,de
18,108,las
18,109,tres
18,110,de
18,111,la
18,112,tarde
18,113,me
18,114,dejaron
18,115,en
18,116,Puerto
19,117,Nuevo
20,118,El
20,119,lugar
20,120,lo
20,121,formaban
20,122,unas
20,123,veinte
21,124,casas
21,125,alineadas
21,126,en
21,127,una
21,128,calle
21,129,que
22,130,terminaba
22,131,en
22,132,la
22,133,mar
23,134,Tenía
23,135,que
23,136,buscar
23,137,un
23,138,barco
23,139,el
24,140,Evangelista
24,141,y
24,142,a
24,143,su
24,144,patrón
24,145,Antonio
25,146,Garaicochea
25,147,más
25,148,conocido
25,149,como
25,150,el
26,151,Vasco
27,152,En
27,153,el
27,154,muelle
27,155,de
27,156,atraque
27,157,encontré
28,158,varias
28,159,embarcaciones
28,160,de
28,161,calado
29,162,pequeño
29,163,pero
29,164,el
29,165,Evangelista
29,166,no
29,167,se
29,168,veía
30,169,por
30,170,ninguna
30,171,parte
30,172,Teniendo
30,173,que
30,174,hubiese
31,175,zarpado
31,176,me
31,177,acerqué
31,178,a
31,179,un
31,180,grupo
31,181,de
32,182,hombres
32,183,que
32,184,calafateaban
32,185,una
32,186,nave
33,187,A
33,188,quién
33,189,dice
33,190,que
33,191,busca
34,192,chiporrito
35,193,A
35,194,don
35,195,Antonio
35,196,Garaicochea
35,197,Al
36,198,patrón
36,199,del
36,200,Evangelista
36,201,Me
36,202,dijeron
36,203,que
37,204,estaba
37,205,con
37,206,el
37,207,barco
37,208,en
37,209,reparaciones
38,210,Ah
38,211,el
38,212,Vasco
38,213,Salieron
38,214,a
38,215,dar
38,216,una
39,217,vuelta
39,218,de
39,219,prueba
39,220,Ya
39,221,estarán
39,222,que
39,223,vuelven
40,224,dijo
40,225,uno
40,226,de
40,227,los
40,228,hombres
40,229,y
40,230,todos
41,231,reanudaron
41,232,el
41,233,calafate
42,234,No
42,235,quise
42,236,permanecer
42,237,en
42,238,el
42,239,muelle
43,240,porque
43,241,me
43,242,molestaban
43,243,las
43,244,miradas
44,245,divertidas
44,246,de
44,247,los
44,248,hombres
44,249,y
44,250,también
45,251,porque
45,252,sentía
45,253,hambre
45,254,Caminé
45,255,por
45,256,entre
46,257,la
46,258,doble
46,259,fila
46,260,de
46,261,casas
46,262,de
46,263,madera
47,264,buscando
47,265,un
47,266,almacén
47,267,De
47,268,pronto
47,269,al
48,270,pasar
48,271,frente
48,272,a
48,273,una
48,274,puerta
48,275,abierta
48,276,un
49,277,irresistible
49,278,aroma
49,279,de
49,280,cebollas
49,281,fritas
49,282,me
50,283,detuvo
50,284,Alcé
50,285,la
50,286,cabeza
50,287,y
50,288,vi
50,289,el
50,290,letrero
51,291,pintado
51,292,sobre
51,293,una
51,294,tabla
51,295,PENSIÓN
52,296,FUEGUINA
52,297,El
52,298,aroma
52,299,terminó
52,300,por
53,301,empujarme
53,302,y
53,303,era
53,304,la
53,305,primera
53,306,vez
53,307,que
54,308,entraba
54,309,solo
54,310,a
54,311,un
54,312,restaurante
55,313,El
55,314,lugar
55,315,estaba
55,316,vacío
55,317,Ningún
56,318,parroquiano
56,319,ocupaba
56,320,las
56,321,mesas
56,322,que
57,323,ordenadas
57,324,en
57,325,dos
57,326,filas
57,327,terminaba
57,328,en
57,329,un
58,330,mesón
58,331,adornado
58,332,con
58,333,lámparas
58,334,de
58,335,aceite
59,336,y
59,337,flores
59,338,artificiales
59,339,Tomé
59,340,asiento
59,341,frente
60,342,a
60,343,una
60,344,de
60,345,las
60,346,mesas
60,347,y
60,348,esperé
60,349,a
60,350,que
60,351,me
61,352,atendieran
