WordNumber,Word,Frequency
1,δ,5
2,ἐς,4
3,τ,3
4,ἐπὶ,3
5,ὁδὸν,3
6,κόραι,3
7,δὲ,3
8,ἵπποι,2
9,ταὶ,2
10,με,2
11,χερσὶν,2
12,ἐν,2
13,ἑκάστῃ,2
14,φέρουσιν,1
15,ὅσον,1
16,θυμὸς,1
17,ἱκάνοι,1
18,πέμπον,1
19,ἐπεί,1
20,μ,1
21,βῆσαν,1
22,πολύφημον,1
23,ἄγουσαι,1
24,δαίμονός,1
25,φωτῶν,1
26,ταύτῃ,1
27,γὰρ,1
28,φέρεται,1
29,ἄνδρη,1
30,σοφίης,1
31,παντοίης,1
32,φέρεν,1
33,δέ,1
34,ταχῖαι,1
35,ἅρμα,1
36,τιταίνουσαι,1
37,ἡγεμόνευον,1
38,ἄξιον,1
39,φάος,1
40,ἦλθον,1
41,ἀφ,1
42,ἡλίου,1
43,ἀπέτηκτο,1
44,κράντο,1
45,μέγ,1
46,ἀμφὶ,1
47,ποτὶ,1
48,κῶας,1
49,ἔχουσαι,1
50,ἕλκον,1
51,ἀπὸ,1
52,κεφαλᾶς,1
53,καλύμματα,1
54,ἔτ,1
55,ἔαχον,1
56,οὕτω,1
57,νιν,1
58,πεῖσαν,1
59,κούραι,1
60,μαλακοῖς,1
61,ἐπέεσσι,1
62,σοὶ,1
63,φράζειν,1
64,ὡς,1
65,τὰ,1
66,φαεσφόρα,1
67,κάλυπτρα,1
68,διέδηξεν,1
69,θύραι,1
70,ἐπέροντο,1
71,πύλαι,1
72,ἀέθλοισιν,1
73,ἀχρεῖον,1
74,ἀμφί,1
75,περώῳ,1
76,ἰσχῠρά,1
77,τὰς,1
78,ἐπέμαξαν,1
79,ἄνωγεν,1
80,πυγμαίῃσι,1
81,λαβοῖσαι,1
82,κλώνων,1
83,παλάμας,1
84,κλῆιδ,1
85,ἀμοιβόμεναι,1
86,ταῖς,1
87,αὐτομάτως,1
88,ἀπυρήχθη,1
89,ἄξων,1
90,χαλκεότυπος,1
91,ὑπὸ,1
92,οἱ,1
93,στροφάδες,1
94,ἑλισσόμεναι,1
95,ἐπέβριζον,1
96,ἴαχοις,1
97,αἱ,1
98,εὐθὺς,1
99,διὰ,1
100,θυρῶν,1
101,ἴκοντο,1
102,πλατεῖς,1
103,μαρτύροισιν,1
104,ἁρμάτων,1
105,ἐλαύνουσαι,1
106,καὶ,1
107,ἡ,1
108,θεὸς,1
109,ἢπτατο,1
110,κούρῃ,1
111,αἵματά,1
112,μοι,1
113,φάτο,1
114,κοῦραι,1
115,μέλλοντι,1
116,νεέσθαι,1
117,αὐτέων,1
118,ἀνάγκης,1
119,ταύτην,1
120,περιτελῆ,1
