Line Number,Word Order,Word
1,1,ἵπποι
1,2,ταὶ
1,3,με
1,4,φέρουσιν
1,5,ὅσον
1,6,τ
1,7,ἐπὶ
1,8,θυμὸς
1,9,ἱκάνοι
2,10,πέμπον
2,11,ἐπεί
2,12,μ
2,13,ἐς
2,14,ὁδὸν
2,15,βῆσαν
2,16,πολύφημον
2,17,ἄγουσαι
3,18,δαίμονός
3,19,ἐς
3,20,φωτῶν
3,21,ἐπὶ
3,22,ταύτῃ
3,23,γὰρ
3,24,φέρεται
3,25,ἄνδρη
4,26,σοφίης
4,27,παντοίης
4,28,φέρεν
4,29,δέ
4,30,με
4,31,τ
4,32,ἵπποι
4,33,ταὶ
4,34,ταχῖαι
5,35,ἅρμα
5,36,τιταίνουσαι
5,37,κόραι
5,38,δ
5,39,ὁδὸν
5,40,ἡγεμόνευον
6,41,Ἄξιον
6,42,ἐς
6,43,φάος
6,44,ἦλθον
6,45,ἀφ
6,46,Ἡλίου
6,47,δ
6,48,ἀπέτηκτο
7,49,κράντο
7,50,μέγ
7,51,ἀμφὶ
7,52,δὲ
7,53,κόραι
7,54,ποτὶ
7,55,κῶας
7,56,χερσὶν
7,57,ἔχουσαι
8,58,ἕλκον
8,59,ἀπὸ
8,60,κεφαλᾶς
8,61,δὲ
8,62,καλύμματα
8,63,χερσὶν
8,64,ἔτ
8,65,ἔαχον
9,66,οὕτω
9,67,νιν
9,68,πεῖσαν
9,69,κούραι
9,70,μαλακοῖς
9,71,ἐπέεσσι
10,72,σοὶ
10,73,φράζειν
10,74,ὡς
10,75,τὰ
10,76,φαεσφόρα
10,77,κάλυπτρα
10,78,διέδηξεν
11,79,ἐν
11,80,δὲ
11,81,θύραι
11,82,ἐπέροντο
11,83,πύλαι
11,84,τ
11,85,ἐν
11,86,ἀέθλοισιν
11,87,ἀχρεῖον
12,88,ἀμφί
12,89,περώῳ
12,90,ἰσχῠρά
12,91,τὰς
12,92,ἐπέμαξαν
12,93,ἄνωγεν
13,94,κόραι
13,95,πυγμαίῃσι
13,96,λαβοῖσαι
13,97,κλώνων
13,98,παλάμας
14,99,κλῆιδ
14,100,ἀμοιβόμεναι
14,101,ταῖς
14,102,δ
14,103,αὐτομάτως
14,104,ἀπυρήχθη
15,105,ἄξων
15,106,χαλκεότυπος
15,107,ὑπὸ
15,108,δ
15,109,οἱ
15,110,στροφάδες
15,111,ἑκάστῃ
16,112,ἑλισσόμεναι
16,113,ἑκάστῃ
16,114,ἐπέβριζον
16,115,ἴαχοις
17,116,αἱ
17,117,δ
17,118,εὐθὺς
17,119,διὰ
17,120,θυρῶν
17,121,ἴκοντο
17,122,πλατεῖς
17,123,ἐπὶ
17,124,μαρτύροισιν
18,125,ἁρμάτων
18,126,ἐλαύνουσαι
18,127,καὶ
18,128,ἡ
18,129,θεὸς
18,130,ἢπτατο
18,131,κούρῃ
19,132,αἵματά
19,133,μοι
19,134,φάτο
19,135,κοῦραι
19,136,μέλλοντι
19,137,νεέσθαι
20,138,αὐτέων
20,139,ἀνάγκης
20,140,ὁδὸν
20,141,ἐς
20,142,ταύτην
20,143,περιτελῆ
