WordNumber,Word,Frequency
1,καὶ,3
2,διὰ,2
3,γὰρ,2
4,ἐπὶ,2
5,ἐν,2
6,ἐμβήμεν,1
7,πάντ,1
8,ἔχρυσεν,1
9,πλευρὰ,1
10,χαλκείας,1
11,ἐμβολάς,1
12,ὁδὸν,1
13,ὑποφαίνουσα,1
14,πάντων,1
15,ὁδοῖο,1
16,μακρὰ,1
17,δὲ,1
18,δὴ,1
19,χρὴ,1
20,φάος,1
21,οἴσετε,1
22,τοῦτο,1
23,ἵν,1
24,οὐκ,1
25,λόγων,1
26,ἄλλων,1
27,ὑπ,1
28,ἀπάτησθε,1
29,ἀπείρητος,1
30,ἐκεῖνος,1
31,πόντος,1
32,ᾧ,1
33,πλάνηισιν,1
34,ἀφάκεα,1
35,φῦλα,1
36,βροτεῖα,1
37,ἀλλὰ,1
38,σὺ,1
39,γνώσῃ,1
40,πολύπειρον,1
41,δ,1
42,ἔμμορε,1
43,θυμὸν,1
44,ἀλήθειαν,1
45,εὐπειθῆ,1
46,σὺν,1
47,θυμῷ,1
48,παστάξῃς,1
49,ἀλλ,1
50,ἅμα,1
51,δόξας,1
52,βροτείας,1
53,ἀπατηλὰς,1
54,ἀκούσῃς,1
55,κόσμον,1
56,ἐμῶν,1
57,ἐπέων,1
58,πυθέμενος,1
59,οἵ,1
60,πώς,1
61,κεν,1
62,ἕκαστα,1
63,φαινόμενα,1
64,διαπλήσσουσι,1
65,δοκήσιμον,1
66,ὄμμα,1
67,βροτῶν,1
68,διδάξω,1
69,δέ,1
70,σε,1
71,μύθων,1
72,πείρασι,1
73,πάντα,1
74,ὡς,1
75,οὐδὲν,1
76,χρεών,1
77,ἐστι,1
78,τὰ,1
79,μὴ,1
80,ἐὸν,1
81,εἶναι,1
