Line Number,Word Order,Word
1,1,ἐμβήμεν
1,2,διὰ
1,3,γὰρ
1,4,πάντ
1,5,ἔχρυσεν
1,6,ἐπὶ
1,7,πλευρὰ
1,8,χαλκείας
2,9,ἐμβολάς
2,10,ὁδὸν
2,11,ὑποφαίνουσα
2,12,διὰ
2,13,πάντων
2,14,ὁδοῖο
3,15,μακρὰ
3,16,δὲ
3,17,δὴ
3,18,χρὴ
3,19,φάος
3,20,οἴσετε
3,21,τοῦτο
3,22,ἵν
3,23,οὐκ
3,24,ἐπὶ
3,25,λόγων
4,26,ἄλλων
4,27,ὑπ
4,28,ἀπάτησθε
4,29,ἀπείρητος
4,30,γὰρ
4,31,ἐκεῖνος
5,32,πόντος
5,33,ἐν
5,34,ᾧ
5,35,πλάνηισιν
5,36,ἀφάκεα
5,37,φῦλα
5,38,βροτεῖα
6,39,ἀλλὰ
6,40,σὺ
6,41,καὶ
6,42,γνώσῃ
6,43,πολύπειρον
6,44,δ
6,45,ἔμμορε
6,46,θυμὸν
7,47,ἀλήθειαν
7,48,εὐπειθῆ
7,49,σὺν
7,50,θυμῷ
7,51,παστάξῃς
8,52,ἀλλ
8,53,ἅμα
8,54,καὶ
8,55,δόξας
8,56,βροτείας
8,57,ἀπατηλὰς
8,58,ἀκούσῃς
9,59,κόσμον
9,60,ἐμῶν
9,61,ἐπέων
9,62,πυθέμενος
9,63,οἵ
9,64,πώς
9,65,κεν
9,66,ἕκαστα
10,67,φαινόμενα
10,68,διαπλήσσουσι
10,69,δοκήσιμον
10,70,ὄμμα
10,71,βροτῶν
11,72,διδάξω
11,73,δέ
11,74,σε
11,75,καὶ
11,76,μύθων
11,77,ἐν
11,78,πείρασι
11,79,πάντα
12,80,ὡς
12,81,οὐδὲν
12,82,χρεών
12,83,ἐστι
12,84,τὰ
12,85,μὴ
12,86,ἐὸν
12,87,εἶναι
