Line Number,Word Order,Word,Translation
1,1,ἵπποι,unknown
1,2,ταὶ,unknown
1,3,με,unknown
1,4,φέρουσιν,unknown
1,5,ὅσον,unknown
1,6,τ,unknown
1,7,ἐπὶ,unknown
1,8,θυμὸς,unknown
1,9,ἱκάνοι,unknown
2,10,πέμπον,unknown
2,11,ἐπεί,unknown
2,12,μ,unknown
2,13,ἐς,unknown
2,14,ὁδὸν,unknown
2,15,βῆσαν,unknown
2,16,πολύφημον,unknown
2,17,ἄγουσαι,unknown
3,18,δαίμονός,unknown
3,19,ἐς,unknown
3,20,φωτῶν,unknown
3,21,ἐπὶ,unknown
3,22,ταύτῃ,unknown
3,23,γὰρ,unknown
3,24,φέρεται,unknown
3,25,ἄνδρη,unknown
4,26,σοφίης,unknown
4,27,παντοίης,unknown
4,28,φέρεν,unknown
4,29,δέ,"but, and"
4,30,με,unknown
4,31,τ,unknown
4,32,ἵπποι,unknown
4,33,ταὶ,unknown
4,34,ταχῖαι,unknown
5,35,ἅρμα,unknown
5,36,τιταίνουσαι,unknown
5,37,κόραι,unknown
5,38,δ,unknown
5,39,ὁδὸν,unknown
5,40,ἡγεμόνευον,unknown
6,41,Ἄξιον,unknown
6,42,ἐς,unknown
6,43,φάος,unknown
6,44,ἦλθον,unknown
6,45,ἀφ,unknown
6,46,Ἡλίου,unknown
6,47,δ,unknown
6,48,ἀπέτηκτο,unknown
7,49,κράντο,unknown
7,50,μέγ,unknown
7,51,ἀμφὶ,unknown
7,52,δὲ,unknown
7,53,κόραι,unknown
7,54,ποτὶ,unknown
7,55,κῶας,unknown
7,56,χερσὶν,unknown
7,57,ἔχουσαι,unknown
8,58,ἕλκον,unknown
8,59,ἀπὸ,unknown
8,60,κεφαλᾶς,unknown
8,61,δὲ,unknown
8,62,καλύμματα,unknown
8,63,χερσὶν,unknown
8,64,ἔτ,unknown
8,65,ἔαχον,unknown
9,66,οὕτω,unknown
9,67,νιν,unknown
9,68,πεῖσαν,unknown
9,69,κούραι,unknown
9,70,μαλακοῖς,unknown
9,71,ἐπέεσσι,unknown
10,72,σοὶ,unknown
10,73,φράζειν,unknown
10,74,ὡς,unknown
10,75,τὰ,unknown
10,76,φαεσφόρα,unknown
10,77,κάλυπτρα,unknown
10,78,διέδηξεν,unknown
