Line Number,Word Order,Word
1,1,ἵπποι
1,2,ταὶ
1,3,με
1,4,φέρουσιν
1,5,ὅσον
1,6,τ
1,7,ἐπὶ
1,8,θυμὸς
1,9,ἱκάνοι
2,10,πέμπον
2,11,ἐπεί
2,12,μ
2,13,ἐς
2,14,ὁδὸν
2,15,βῆσαν
2,16,πολύφημον
2,17,ἄγουσαι
3,18,δαίμονός
3,19,ἐς
3,20,φωτῶν
3,21,ἐπὶ
3,22,ταύτῃ
3,23,γὰρ
3,24,φέρεται
3,25,ἄνδρη
4,26,σοφίης
4,27,παντοίης
4,28,φέρεν
4,29,δέ
4,30,με
4,31,τ
4,32,ἵπποι
4,33,ταὶ
4,34,ταχῖαι
5,35,ἅρμα
5,36,τιταίνουσαι
5,37,κόραι
5,38,δ
5,39,ὁδὸν
5,40,ἡγεμόνευον
6,41,Ἄξιον
6,42,ἐς
6,43,φάος
6,44,ἦλθον
6,45,ἀφ
6,46,Ἡλίου
6,47,δ
6,48,ἀπέτηκτο
7,49,κράντο
7,50,μέγ
7,51,ἀμφὶ
7,52,δὲ
7,53,κόραι
7,54,ποτὶ
7,55,κῶας
7,56,χερσὶν
7,57,ἔχουσαι
8,58,ἕλκον
8,59,ἀπὸ
8,60,κεφαλᾶς
8,61,δὲ
8,62,καλύμματα
8,63,χερσὶν
8,64,ἔτ
8,65,ἔαχον
9,66,οὕτω
9,67,νιν
9,68,πεῖσαν
9,69,κούραι
9,70,μαλακοῖς
9,71,ἐπέεσσι
10,72,σοὶ
10,73,φράζειν
10,74,ὡς
10,75,τὰ
10,76,φαεσφόρα
10,77,κάλυπτρα
10,78,διέδηξεν
11,79,ἐν
11,80,δὲ
11,81,θύραι
11,82,ἐπέροντο
11,83,πύλαι
11,84,τ
11,85,ἐν
11,86,ἀέθλοισιν
11,87,ἀχρεῖον
12,88,ἀμφί
12,89,περώῳ
12,90,ἰσχῠρά
12,91,τὰς
12,92,ἐπέμαξαν
12,93,ἄνωγεν
13,94,κόραι
13,95,πυγμαίῃσι
13,96,λαβοῖσαι
13,97,κλώνων
13,98,παλάμας
14,99,κλῆιδ
14,100,ἀμοιβόμεναι
14,101,ταῖς
14,102,δ
14,103,αὐτομάτως
14,104,ἀπυρήχθη
15,105,ἄξων
15,106,χαλκεότυπος
15,107,ὑπὸ
15,108,δ
15,109,οἱ
15,110,στροφάδες
15,111,ἑκάστῃ
16,112,ἑλισσόμεναι
16,113,ἑκάστῃ
16,114,ἐπέβριζον
16,115,ἴαχοις
17,116,αἱ
17,117,δ
17,118,εὐθὺς
17,119,διὰ
17,120,θυρῶν
17,121,ἴκοντο
17,122,πλατεῖς
17,123,ἐπὶ
17,124,μαρτύροισιν
18,125,ἁρμάτων
18,126,ἐλαύνουσαι
18,127,καὶ
18,128,ἡ
18,129,θεὸς
18,130,ἢπτατο
18,131,κούρῃ
19,132,αἵματά
19,133,μοι
19,134,φάτο
19,135,κοῦραι
19,136,μέλλοντι
19,137,νεέσθαι
20,138,αὐτέων
20,139,ἀνάγκης
20,140,ὁδὸν
20,141,ἐς
20,142,ταύτην
20,143,περιτελῆ
21,144,ἐμβήμεν
21,145,διὰ
21,146,γὰρ
21,147,πάντ
21,148,ἔχρυσεν
21,149,ἐπὶ
21,150,πλευρὰ
21,151,χαλκείας
22,152,ἐμβολάς
22,153,ὁδὸν
22,154,ὑποφαίνουσα
22,155,διὰ
22,156,πάντων
22,157,ὁδοῖο
23,158,μακρὰ
23,159,δὲ
23,160,δὴ
23,161,χρὴ
23,162,φάος
23,163,οἴσετε
23,164,τοῦτο
23,165,ἵν
23,166,οὐκ
23,167,ἐπὶ
23,168,λόγων
24,169,ἄλλων
24,170,ὑπ
24,171,ἀπάτησθε
24,172,ἀπείρητος
24,173,γὰρ
24,174,ἐκεῖνος
25,175,πόντος
25,176,ἐν
25,177,ᾧ
25,178,πλάνηισιν
25,179,ἀφάκεα
25,180,φῦλα
25,181,βροτεῖα
26,182,ἀλλὰ
26,183,σὺ
26,184,καὶ
26,185,γνώσῃ
26,186,πολύπειρον
26,187,δ
26,188,ἔμμορε
26,189,θυμὸν
27,190,ἀλήθειαν
27,191,εὐπειθῆ
27,192,σὺν
27,193,θυμῷ
27,194,παστάξῃς
28,195,ἀλλ
28,196,ἅμα
28,197,καὶ
28,198,δόξας
28,199,βροτείας
28,200,ἀπατηλὰς
28,201,ἀκούσῃς
29,202,κόσμον
29,203,ἐμῶν
29,204,ἐπέων
29,205,πυθέμενος
29,206,οἵ
29,207,πώς
29,208,κεν
29,209,ἕκαστα
30,210,φαινόμενα
30,211,διαπλήσσουσι
30,212,δοκήσιμον
30,213,ὄμμα
30,214,βροτῶν
31,215,διδάξω
31,216,δέ
31,217,σε
31,218,καὶ
31,219,μύθων
31,220,ἐν
31,221,πείρασι
31,222,πάντα
32,223,ὡς
32,224,οὐδὲν
32,225,χρεών
32,226,ἐστι
32,227,τὰ
32,228,μὴ
32,229,ἐὸν
32,230,εἶναι
